player,team,pos,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov,adp,htag_rank,htag_total
Nikola Jokic,DEN,C,72.0,35.1,0.573,18.3,0.816,6.8,1.8,28.4,12.7,10.4,1.6,0.7,3.5,5.0,1.0,15.92
Victor Wembanyama,SA,"PF,C",66.0,30.4,0.502,18.3,0.831,6.1,2.2,25.6,11.8,3.6,1.1,3.2,2.9,2.7,2.0,14.35
Shai Gilgeous-Alexander,OKC,PG,71.0,33.5,0.534,20.7,0.889,8.9,1.9,32.1,4.7,6.5,1.6,0.9,2.3,11.6,3.0,14.12
Luka Doncic,LAL,"PG,SG",68.0,35.4,0.465,22.9,0.781,9.6,4.0,32.7,8.7,8.8,1.7,0.5,4.0,8.8,4.0,10.88
Giannis Antetokounmpo,MIA,"PF,C",69.0,34.2,0.608,19.9,0.628,11.0,0.3,31.4,11.9,6.5,1.0,1.1,3.3,23.9,5.0,10.3
Cade Cunningham,DET,"PG,SG",68.0,33.9,0.466,19.7,0.826,5.6,2.0,25.0,5.8,9.8,1.3,0.8,4.1,15.6,6.0,7.76
Jayson Tatum,BOS,"SF,PF",68.0,33.7,0.464,19.4,0.815,5.8,3.3,26.1,8.8,6.1,1.2,0.5,2.8,22.0,7.0,7.66
Anthony Edwards,MIN,"PG,SG",74.0,35.3,0.487,20.0,0.818,6.6,3.7,28.7,5.6,3.5,1.2,0.7,3.0,32.1,8.0,7.57
Tyrese Maxey,PHI,PG,70.0,36.1,0.458,18.2,0.885,5.2,2.8,24.2,3.4,5.8,1.8,0.5,2.2,19.7,9.0,7.54
Stephen Curry,GS,PG,60.0,31.6,0.456,18.3,0.929,4.6,4.4,25.4,3.6,5.2,1.0,0.4,2.9,22.2,10.0,7.48
Kevin Durant,HOU,"SG,SF,PF",70.0,34.6,0.523,16.8,0.86,5.6,2.3,24.7,5.4,4.3,0.8,1.0,2.9,12.8,11.0,7.22
Anthony Davis,WAS,"PF,C",65.0,31.1,0.514,16.8,0.767,6.1,0.6,22.5,10.9,3.2,1.1,1.9,2.1,22.4,12.0,7.19
Donovan Mitchell,CLE,"PG,SG",72.0,33.4,0.464,20.1,0.846,5.8,3.3,26.9,4.7,5.4,1.5,0.3,2.6,37.6,13.0,6.79
Tyrese Haliburton,IND,"PG,SG",63.0,30.9,0.467,13.0,0.852,2.8,2.8,17.3,3.3,9.6,1.3,0.6,1.5,41.8,14.0,6.51
Jamal Murray,DEN,"PG,SG",73.0,34.8,0.478,17.2,0.887,4.4,2.8,23.2,4.1,6.5,1.1,0.4,2.1,16.0,15.0,6.5
Karl-Anthony Towns,NY,"PF,C",73.0,31.3,0.514,14.7,0.844,5.4,1.7,21.3,11.8,2.9,0.9,0.6,2.5,12.6,16.0,6.43
Cooper Flagg,DAL,"PG,SG,SF",72.0,34.1,0.475,18.5,0.836,5.3,1.3,23.3,7.3,4.9,1.3,1.0,2.2,10.9,17.0,6.35
Jalen Johnson,ATL,"SF,PF",72.0,35.1,0.482,16.8,0.786,4.7,1.5,21.4,10.2,6.9,1.4,0.6,3.3,29.1,18.0,6.34
Kawhi Leonard,TOR,"SF,PF",65.0,31.1,0.491,17.5,0.872,5.0,2.2,23.7,5.0,3.0,1.7,0.4,1.9,17.2,19.0,6.34
Trae Young,WAS,PG,70.0,33.4,0.436,16.0,0.868,7.1,2.7,22.8,2.9,10.8,1.1,0.2,4.3,23.0,20.0,6.08
Trey Murphy III,NO,"SG,SF,PF",68.0,35.2,0.463,16.0,0.888,4.0,3.2,21.6,5.5,3.7,1.3,0.5,1.9,33.1,21.0,5.94
Scottie Barnes,TOR,"SG,SF,PF,C",80.0,34.2,0.477,15.7,0.784,4.3,1.0,19.4,7.9,6.1,1.5,1.3,2.8,12.0,22.0,5.93
Chet Holmgren,OKC,"PF,C",70.0,29.7,0.536,11.7,0.78,4.4,1.4,17.3,9.1,1.9,0.7,2.1,1.7,18.7,23.0,5.84
James Harden,CLE,"PG,SG",72.0,33.4,0.421,14.0,0.878,6.4,2.6,20.0,4.6,8.2,1.1,0.5,3.4,35.2,24.0,5.76
Austin Reaves,LAL,"PG,SG,SF",70.0,34.4,0.472,14.5,0.874,5.9,2.6,21.5,4.6,5.7,1.1,0.3,2.6,20.5,25.0,5.55
Evan Mobley,CLE,"PF,C",72.0,32.5,0.552,13.7,0.665,4.7,1.1,19.3,9.6,3.6,0.8,1.8,2.1,29.8,26.0,5.24
Kyrie Irving,DAL,PG,55.0,31.8,0.484,15.5,0.899,3.7,2.4,20.7,4.0,4.9,1.1,0.4,1.9,45.4,27.0,4.87
Jaren Jackson Jr.,UTA,"PF,C",67.0,30.7,0.483,16.4,0.788,5.1,2.0,21.8,5.8,2.1,1.2,1.5,2.2,51.8,28.0,4.81
Amen Thompson,HOU,"PG,SG,SF",76.0,36.2,0.539,13.0,0.76,4.9,0.4,18.1,7.9,4.2,1.5,1.0,2.2,26.2,29.0,4.72
Dejounte Murray,NO,"PG,SG",65.0,30.7,0.456,13.8,0.836,3.8,1.6,17.3,6.1,7.1,1.8,0.3,3.4,64.5,30.0,4.66
Devin Booker,PHO,"PG,SG",68.0,33.5,0.459,17.9,0.884,6.9,2.1,24.6,3.8,6.3,0.8,0.2,2.9,30.7,31.0,4.6
Lauri Markkanen,UTA,"SF,PF",65.0,34.1,0.452,17.8,0.886,5.4,3.0,23.8,6.7,1.9,0.9,0.5,1.5,41.4,32.0,4.58
Desmond Bane,ORL,"SG,SF",76.0,33.6,0.484,14.5,0.904,3.5,2.2,19.4,4.9,4.6,1.1,0.4,2.2,52.8,33.0,4.49
Walker Kessler,LAL,C,68.0,30.2,0.666,7.3,0.57,2.6,0.5,11.8,10.8,1.8,0.7,2.2,1.9,27.1,34.0,4.4
Josh Giddey,CHI,"PG,SG",70.0,32.0,0.457,12.7,0.771,3.8,1.8,16.3,8.5,8.4,1.2,0.6,3.3,27.9,35.0,4.37
Zach Edey,MEM,C,65.0,25.8,0.619,8.5,0.775,3.2,0.3,13.3,10.3,1.2,0.7,1.8,1.8,66.9,36.0,4.34
Jalen Duren,DET,C,70.0,28.4,0.652,10.7,0.738,5.2,0.0,17.7,11.1,2.5,0.8,0.9,1.9,29.2,37.0,4.3
Darius Garland,LAC,PG,68.0,31.4,0.468,16.1,0.872,3.3,2.9,20.8,2.8,7.0,1.2,0.2,2.8,56.3,38.0,4.29
Jalen Williams,OKC,"SF,PF",68.0,31.2,0.484,16.0,0.805,4.3,1.5,20.4,5.2,5.3,1.5,0.6,2.1,42.2,39.0,4.19
Domantas Sabonis,SAC,"PF,C",70.0,30.7,0.581,11.5,0.749,3.8,0.7,17.0,12.3,5.2,0.7,0.3,2.6,31.7,40.0,4.12
LeBron James,PHI,"SF,PF",60.0,32.1,0.513,15.0,0.76,4.4,1.5,20.3,6.2,7.4,1.0,0.5,3.0,39.4,41.0,4.1
Derrick White,BOS,"PG,SG",75.0,33.8,0.416,13.6,0.871,2.4,3.1,16.5,4.5,5.1,1.1,1.2,1.7,42.9,42.0,4.08
Tyler Herro,MIL,"PG,SG",64.0,31.8,0.475,16.2,0.887,3.7,2.9,21.5,4.8,4.8,0.8,0.3,2.2,61.2,43.0,4.01
Jalen Brunson,NY,PG,72.0,34.2,0.476,18.9,0.831,6.1,2.5,25.5,3.1,6.9,0.8,0.1,2.4,19.8,44.0,3.99
Nickeil Alexander-Walker,ATL,"PG,SG,SF",76.0,33.0,0.456,14.2,0.881,4.1,3.0,19.6,3.8,3.6,1.1,0.5,1.9,57.1,45.0,3.94
Franz Wagner,ORL,"SF,PF",64.0,32.5,0.468,18.0,0.852,5.5,1.6,23.2,5.6,4.3,1.2,0.4,2.1,51.0,46.0,3.88
LaMelo Ball,MIN,"PG,SG",65.0,30.2,0.431,16.4,0.867,3.2,2.9,19.8,4.5,7.1,1.3,0.2,2.9,21.0,47.0,3.84
Onyeka Okongwu,ATL,"PF,C",74.0,31.1,0.519,11.1,0.757,3.0,1.4,15.2,8.8,2.9,1.1,1.1,1.6,54.6,48.0,3.76
Joel Embiid,PHI,C,52.0,29.4,0.471,15.9,0.857,7.0,1.1,22.2,7.5,3.0,0.5,1.0,2.9,46.4,49.0,3.61
Alperen Sengün,HOU,"PF,C",72.0,33.3,0.508,15.9,0.691,5.6,0.4,20.5,10.0,5.7,1.2,1.0,3.0,16.3,50.0,3.58
Kel'el Ware,MIL,"PF,C",74.0,27.9,0.54,10.0,0.714,1.5,1.1,13.0,10.5,1.1,0.9,1.4,1.1,73.8,51.0,3.53
Bam Adebayo,MIA,"PF,C",74.0,33.4,0.463,15.1,0.773,5.0,1.4,19.3,9.9,3.8,1.2,0.7,1.9,31.1,52.0,3.42
Paul George,BOS,"SG,SF,PF",58.0,31.2,0.434,14.2,0.82,2.7,2.6,17.1,5.4,4.1,1.8,0.5,2.2,78.2,53.0,3.42
Jalen Suggs,ORL,"PG,SG",60.0,28.4,0.424,12.6,0.866,2.5,2.2,15.1,4.0,4.9,1.7,0.8,2.8,106.8,54.0,3.41
Brandon Miller,CHA,"SF,PF",69.0,31.4,0.425,16.8,0.885,3.3,3.4,20.6,4.9,3.5,1.0,0.7,2.6,46.1,55.0,3.41
Matas Buzelis,CHI,"SF,PF",75.0,31.3,0.46,13.5,0.795,3.1,2.4,17.2,6.4,2.1,0.8,1.7,2.1,59.0,56.0,3.39
Kon Knueppel,CHA,"SG,SF",74.0,32.3,0.475,13.9,0.862,2.9,3.5,19.2,5.5,3.5,0.7,0.2,2.1,34.1,57.0,3.16
OG Anunoby,NY,"SF,PF",68.0,33.2,0.479,12.5,0.819,3.0,2.2,16.7,4.8,2.1,1.5,0.8,1.5,59.9,58.0,3.13
Kristaps Porzingis,GS,"PF,C",51.0,26.0,0.468,12.8,0.823,4.7,2.1,17.9,6.0,2.2,0.7,1.3,1.3,104.5,59.0,3.12
Damian Lillard,POR,"PG,SG",55.0,28.2,0.438,13.2,0.882,5.0,3.1,19.1,3.5,5.0,0.9,0.1,2.1,70.4,60.0,3.1
Brandon Ingram,LAC,"SG,SF,PF",72.0,34.1,0.474,17.5,0.826,4.4,1.9,22.1,5.7,4.1,0.8,0.7,2.8,70.1,61.0,3.07
Jimmy Butler III,GS,"SG,SF,PF",25.0,27.5,0.51,10.1,0.851,6.4,0.6,16.4,4.8,4.6,1.3,0.3,1.3,118.2,62.0,3.01
Donovan Clingan,POR,C,74.0,27.2,0.527,8.2,0.674,2.4,1.1,11.4,11.4,1.9,0.6,1.8,1.3,37.8,63.0,3.0
Zion Williamson,NO,"SF,PF,C",60.0,30.4,0.587,15.0,0.696,8.0,0.1,23.2,6.5,4.1,1.1,0.7,2.5,70.8,64.0,2.94
Cameron Boozer,MEM,"PF,C",70.0,30.4,0.518,11.5,0.784,5.1,1.2,17.2,7.0,3.9,1.1,0.6,2.5,61.4,65.0,2.92
Ty Jerome,MEM,"PG,SG",60.0,27.4,0.506,11.7,0.874,2.9,2.2,16.4,3.0,4.5,1.3,0.1,1.7,94.2,66.0,2.89
Michael Porter Jr.,BKN,"SF,PF",60.0,32.0,0.485,15.1,0.818,3.2,2.8,20.1,6.9,2.4,0.8,0.4,1.7,67.2,67.0,2.83
Naz Reid,CHA,"PF,C",74.0,30.8,0.459,13.3,0.756,2.0,2.5,16.2,7.1,2.6,1.0,1.1,1.7,66.3,68.0,2.77
Ryan Rollins,MIL,"PG,SG",72.0,30.1,0.475,12.4,0.797,1.9,2.2,15.5,4.2,4.9,1.5,0.5,2.4,70.8,69.0,2.69
Ivica Zubac,IND,C,72.0,30.4,0.618,10.7,0.681,2.9,0.0,15.2,11.5,2.4,0.6,1.0,1.6,67.6,70.0,2.67
Jaden McDaniels,MIN,"SF,PF",74.0,32.8,0.496,12.1,0.813,2.2,1.5,15.3,5.8,2.7,1.1,1.0,1.7,76.8,71.0,2.62
Zach LaVine,SAC,"PG,SG,SF",68.0,32.4,0.501,15.1,0.844,3.7,2.9,21.1,3.6,3.4,0.7,0.2,2.4,120.1,72.0,2.54
John Collins,DET,"PF,C",70.0,28.9,0.541,11.2,0.81,3.0,1.4,16.0,6.6,1.4,0.9,0.9,1.9,116.8,73.0,2.5
Mark Williams,PHO,C,62.0,24.3,0.624,8.4,0.785,3.2,0.0,13.0,8.8,1.6,0.8,1.0,1.3,104.0,74.0,2.48
Immanuel Quickley,TOR,"PG,SG",70.0,32.0,0.435,13.8,0.837,3.4,2.7,17.6,4.1,6.2,1.2,0.1,1.6,96.4,75.0,2.47
Pascal Siakam,IND,"SF,PF,C",72.0,34.5,0.501,17.7,0.711,5.2,1.8,23.2,7.2,3.8,1.1,0.5,1.9,46.9,76.0,2.37
Rudy Gobert,MIN,C,74.0,31.5,0.675,6.7,0.596,3.8,0.0,11.3,11.1,1.7,0.8,1.5,1.3,76.0,77.0,2.36
Deni Avdija,POR,"SG,SF,PF",68.0,33.3,0.469,13.3,0.793,6.8,1.7,19.6,6.8,5.0,0.9,0.5,3.1,32.4,78.0,2.32
Payton Pritchard,BOS,PG,77.0,32.5,0.467,13.3,0.873,1.5,3.2,16.9,4.2,4.7,0.9,0.2,1.3,76.6,79.0,2.31
De'Aaron Fox,SA,"PG,SG",72.0,30.5,0.474,15.2,0.799,3.9,1.7,19.3,3.9,5.8,1.2,0.3,2.3,80.8,80.0,2.27
Julius Randle,BKN,"PF,C",75.0,32.6,0.483,14.6,0.804,5.7,1.5,20.1,6.9,4.9,0.9,0.2,2.8,62.5,81.0,2.27
Dyson Daniels,ATL,"PG,SG,SF",75.0,32.3,0.504,10.1,0.622,1.6,0.6,11.8,6.1,4.7,2.1,0.5,1.7,60.3,82.0,2.25
Day'Ron Sharpe,BKN,C,68.0,28.2,0.563,8.6,0.704,2.9,0.3,11.9,9.4,3.0,1.4,0.9,2.2,91.4,83.0,2.24
Derik Queen,NO,"PF,C",80.0,28.5,0.474,10.6,0.796,3.9,0.3,13.5,8.1,4.2,1.2,1.1,2.7,82.2,84.0,2.19
Jarrett Allen,CLE,C,70.0,26.9,0.676,8.2,0.712,3.8,0.0,13.8,8.9,1.8,0.9,0.8,1.2,76.9,85.0,2.17
Ja Morant,POR,PG,62.0,30.4,0.465,14.5,0.845,5.5,1.4,19.5,3.4,6.6,1.0,0.2,3.2,89.8,86.0,2.1
Keyonte George,UTA,"PG,SG",70.0,31.9,0.423,14.9,0.86,5.5,2.6,19.9,3.7,6.1,0.9,0.2,2.9,49.8,87.0,2.08
Josh Hart,NY,"SG,SF,PF",68.0,31.5,0.503,9.1,0.753,2.2,1.2,12.0,8.0,5.0,1.3,0.3,1.9,96.2,88.0,1.95
VJ Edgecombe,PHI,"PG,SG",74.0,34.1,0.438,13.5,0.815,2.4,2.0,15.7,5.6,4.1,1.4,0.5,1.8,63.6,89.0,1.91
Andrew Wiggins,MIA,"SG,SF,PF",68.0,31.4,0.461,13.5,0.771,3.4,2.2,17.2,4.9,2.8,1.1,1.0,1.6,110.8,90.0,1.87
Ausar Thompson,DET,"SG,SF,PF",74.0,28.2,0.529,9.2,0.602,2.9,0.2,11.6,6.4,3.2,2.2,1.0,1.7,90.8,91.0,1.85
Ayo Dosunmu,MIN,"PG,SG,SF",73.0,31.4,0.508,11.6,0.843,2.2,1.8,15.4,3.9,4.4,1.0,0.4,1.6,105.9,92.0,1.84
Ajay Mitchell,OKC,"PG,SG",68.0,30.1,0.487,11.4,0.865,2.9,1.2,14.8,3.8,4.0,1.4,0.3,1.6,123.3,93.0,1.84
Jakob Poeltl,TOR,C,58.0,26.5,0.653,8.4,0.642,2.3,0.0,12.4,8.2,2.4,1.0,1.0,1.6,119.8,94.0,1.8
Isaiah Hartenstein,OKC,C,68.0,26.4,0.597,7.6,0.645,2.2,0.0,10.5,10.3,3.8,0.9,1.0,1.7,104.6,95.0,1.74
Keegan Murray,SAC,"SF,PF",72.0,34.2,0.45,13.8,0.824,1.8,2.2,16.1,6.5,1.5,0.9,1.1,1.0,120.5,96.0,1.73
Cameron Johnson,DEN,"SG,SF,PF",60.0,30.8,0.477,11.0,0.875,3.0,2.4,15.6,4.1,2.9,0.8,0.4,1.3,115.0,97.0,1.72
Coby White,CHA,"PG,SG",72.0,31.0,0.451,14.3,0.864,4.5,2.7,19.5,3.6,4.3,0.8,0.2,2.5,86.6,98.0,1.69
Myles Turner,MIL,C,70.0,27.4,0.463,9.9,0.758,2.8,2.1,13.3,5.8,1.5,0.7,1.8,1.4,94.7,99.0,1.67
Norman Powell,CHI,"SG,SF",65.0,29.6,0.477,15.0,0.816,4.7,2.7,20.9,3.2,2.2,1.1,0.2,1.8,95.3,100.0,1.59
Neemias Queta,BOS,"PF,C",75.0,25.9,0.653,6.6,0.719,2.2,0.0,10.2,8.2,1.6,0.7,1.3,1.1,103.7,101.0,1.51
Paolo Banchero,ORL,"PF,C",73.0,35.2,0.456,18.0,0.756,8.5,1.5,24.3,8.3,5.2,0.8,0.6,3.1,37.3,102.0,1.45
Mikal Bridges,NY,"SG,SF,PF",80.0,32.5,0.496,12.3,0.815,1.2,1.8,15.0,3.3,3.5,1.0,0.6,1.2,75.6,103.0,1.28
Cason Wallace,OKC,"PG,SG,SF",78.0,30.4,0.451,8.4,0.817,0.8,1.4,9.6,3.7,2.9,2.1,0.5,1.0,112.7,104.0,1.27
Sandro Mamukelashvili,LAL,"PF,C",74.0,25.8,0.517,9.8,0.749,2.3,1.9,13.7,6.2,2.1,0.9,0.6,1.0,112.8,105.0,1.19
Miles Bridges,PHO,"SF,PF",72.0,30.1,0.445,14.7,0.845,3.5,2.0,18.0,6.4,3.4,0.6,0.5,1.7,98.4,106.0,1.15
Dylan Harper,SA,"PG,SG",72.0,29.5,0.504,12.6,0.754,2.3,1.2,15.6,4.5,5.1,1.0,0.5,1.9,78.7,107.0,1.14
Collin Murray-Boyles,TOR,"PF,C",68.0,28.0,0.579,7.8,0.657,2.5,0.4,11.0,6.5,2.4,1.2,1.2,1.3,122.7,108.0,1.03
Alexandre Sarr,WAS,C,68.0,28.8,0.433,13.8,0.686,2.9,1.5,15.4,7.4,2.7,0.8,1.8,1.8,59.4,109.0,0.94
Christian Braun,DEN,"SG,SF,PF",72.0,31.8,0.56,9.5,0.815,2.5,1.0,13.8,4.9,2.6,0.9,0.4,1.0,118.3,110.0,0.92
Tre Jones,CHI,"PG,SG",68.0,25.9,0.549,8.4,0.837,2.9,0.6,12.3,3.2,5.3,1.1,0.2,1.3,,111.0,0.92
Brandin Podziemski,GS,"PG,SG",78.0,31.0,0.451,11.6,0.785,2.6,2.1,14.5,5.8,4.1,1.2,0.2,1.6,114.4,112.0,0.91
De'Andre Hunter,SAC,"SF,PF",65.0,31.5,0.448,13.8,0.855,4.3,2.5,18.6,4.8,2.0,0.9,0.2,1.7,,113.0,0.88
Jabari Smith Jr.,HOU,"SF,PF,C",75.0,35.2,0.446,12.4,0.796,2.7,2.2,15.4,7.5,1.6,0.7,0.9,1.3,95.5,114.0,0.83
Mitchell Robinson,BOS,C,65.0,22.8,0.709,4.1,0.448,1.9,0.0,6.7,9.8,1.0,1.1,1.4,0.8,122.7,115.0,0.77
Caleb Wilson,CHI,"PF,SF",72.0,30.4,0.491,10.5,0.72,5.5,1.0,15.2,8.0,2.0,1.2,1.0,1.8,79.6,116.0,0.76
Cedric Coward,MEM,"SG,SF",70.0,28.8,0.45,13.3,0.844,3.0,1.8,16.3,6.6,3.1,0.7,0.5,1.9,100.8,117.0,0.74
Reed Sheppard,HOU,"PG,SG",74.0,25.8,0.415,11.0,0.8,1.0,2.6,12.5,2.9,3.3,1.5,0.7,1.5,118.3,118.0,0.54
Jaylen Brown,PHI,"SG,SF",70.0,33.1,0.471,17.5,0.768,5.7,1.7,22.6,5.7,3.4,1.0,0.3,2.8,30.2,119.0,0.54
Paul Reed,DET,"PF,C",69.0,17.9,0.585,6.5,0.693,2.1,0.3,9.3,5.6,1.7,1.3,1.2,1.1,130.0,120.0,0.52
Kevin Porter Jr.,MIL,"PG,SG",60.0,24.4,0.456,10.5,0.822,2.9,0.9,12.9,4.3,4.8,1.5,0.3,2.2,116.3,121.0,0.45
Quentin Grimes,LAL,"SG,SF",74.0,30.8,0.459,11.6,0.799,3.3,2.1,15.5,4.4,3.5,1.0,0.4,2.0,118.4,122.0,0.42
Draymond Green,GS,"PF,C",68.0,28.8,0.421,7.6,0.695,1.7,1.4,8.9,6.0,5.7,1.2,0.9,2.7,112.7,123.0,0.38
Nicolas Claxton,CHI,C,70.0,28.4,0.568,8.7,0.574,2.9,0.1,11.6,7.5,3.1,0.8,1.3,1.4,93.0,124.0,0.34
Toumani Camara,POR,"SF,PF,C",80.0,33.1,0.448,10.2,0.713,1.7,2.2,12.6,5.5,2.4,1.3,0.5,1.6,118.4,125.0,0.32
Collin Gillespie,PHO,"PG,SG",75.0,26.4,0.42,9.7,0.868,1.1,2.6,11.7,3.9,4.4,1.2,0.2,1.4,128.9,126.0,0.31
Cam Spencer,MEM,"PG,SG",65.0,23.8,0.465,7.8,0.947,1.9,2.0,11.1,2.6,5.3,0.8,0.2,1.2,,127.0,0.28
Gui Santos,GS,"SF,PF",72.0,30.1,0.488,9.0,0.715,2.3,1.6,12.0,6.2,3.4,1.2,0.5,2.0,,128.0,0.28
Jrue Holiday,POR,"PG,SG",54.0,28.2,0.448,10.6,0.867,1.5,2.0,12.8,4.2,4.6,1.0,0.3,1.8,115.4,129.0,0.28
DeMar DeRozan,DEN,"SF,PF",72.0,27.8,0.498,11.5,0.863,4.4,0.9,16.2,2.7,2.3,0.9,0.4,1.0,116.5,130.0,0.24
Devin Vassell,SA,"SG,SF",68.0,30.5,0.441,12.6,0.806,1.9,2.5,15.1,4.0,2.7,1.1,0.4,1.1,117.0,131.0,0.23
Saddiq Bey,NO,"SF,PF",72.0,29.2,0.451,12.7,0.842,3.9,2.0,16.7,5.3,2.4,0.9,0.1,0.9,122.7,132.0,0.14
Jusuf Nurkic,UTA,C,58.0,26.4,0.49,8.8,0.612,3.0,0.7,11.2,10.2,3.9,1.1,0.7,2.5,114.8,133.0,0.12
Fred VanVleet,HOU,PG,60.0,31.2,0.378,11.3,0.814,2.0,2.4,12.6,3.3,5.0,1.4,0.4,1.3,119.7,134.0,0.11
Aaron Nesmith,IND,"SG,SF",69.0,30.4,0.454,11.1,0.862,2.4,2.4,14.5,4.6,1.8,0.8,0.5,1.3,,135.0,0.08
CJ McCollum,ATL,"PG,SG",73.0,30.0,0.45,15.9,0.749,3.0,2.7,19.3,3.4,3.9,0.8,0.4,1.8,110.6,136.0,0.01
Robert Williams III,POR,C,60.0,17.1,0.691,4.2,0.66,0.9,0.1,6.5,6.8,1.0,0.6,1.5,0.8,124.0,137.0,-0.06
Andrew Nembhard,IND,"PG,SG",64.0,30.4,0.449,10.8,0.813,3.1,1.3,13.6,3.2,6.4,1.1,0.2,2.1,127.3,138.0,-0.09
Peyton Watson,CLE,"SF,PF",70.0,30.1,0.474,9.6,0.717,3.0,1.2,12.5,4.7,1.9,0.9,1.4,1.4,110.6,139.0,-0.15
Jalen Green,PHO,"PG,SG,SF",69.0,31.1,0.423,17.4,0.798,3.8,2.7,20.4,4.4,3.3,0.9,0.3,2.5,110.8,140.0,-0.19
Kyshawn George,WAS,"SG,SF,PF",68.0,29.0,0.406,10.3,0.785,2.1,2.0,11.9,4.9,3.5,1.1,0.9,2.0,112.0,141.0,-0.23
P.J. Washington,DAL,"SF,PF,C",68.0,30.4,0.451,11.4,0.703,3.3,1.4,14.0,7.2,2.0,1.0,1.0,1.8,123.6,142.0,-0.28
Anthony Black,ORL,"PG,SG,SF",68.0,30.4,0.436,11.3,0.746,3.5,1.3,13.7,3.8,3.9,1.4,0.8,2.2,119.3,143.0,-0.29
Aaron Gordon,DEN,"PF,C",58.0,27.9,0.516,10.3,0.789,3.9,1.6,15.3,5.2,3.0,0.5,0.3,1.3,116.4,144.0,-0.31
Tari Eason,HOU,"SG,SF,PF",60.0,24.2,0.45,9.4,0.766,1.4,1.3,10.8,6.1,1.4,1.4,0.6,1.2,130.0,145.0,-0.31
Malik Monk,SAC,"PG,SG",68.0,26.2,0.439,12.2,0.869,2.2,2.0,14.6,2.8,4.2,0.8,0.5,1.9,,146.0,-0.32
Bobby Portis,MIA,"PF,C",68.0,25.1,0.478,11.9,0.776,1.3,1.8,14.1,7.4,1.9,0.7,0.3,1.1,119.3,147.0,-0.32
Jaime Jaquez Jr.,MIL,"SG,SF,PF",72.0,29.2,0.491,11.6,0.762,3.0,0.8,14.6,5.6,4.4,1.0,0.3,2.1,99.9,148.0,-0.35
Wendell Carter Jr.,ORL,C,70.0,29.3,0.49,8.3,0.768,3.1,0.8,11.3,7.8,2.1,0.8,0.7,1.3,108.0,149.0,-0.49
Stephon Castle,SA,"PG,SG",70.0,31.4,0.448,13.6,0.729,5.5,1.3,17.5,5.0,6.3,1.2,0.3,3.0,56.0,150.0,-0.51
RJ Barrett,TOR,"SG,SF,PF",58.0,31.5,0.479,15.9,0.67,5.2,1.8,20.5,5.9,4.5,0.8,0.3,2.3,110.4,151.0,-0.53
Egor Demin,BKN,"PG,SG",69.0,29.5,0.399,10.2,0.831,1.5,2.8,12.2,3.8,3.9,1.0,0.4,2.0,121.0,152.0,-0.56
Tobias Harris,SA,PF,65.0,26.2,0.474,9.6,0.863,2.1,1.1,12.0,4.9,2.1,0.9,0.5,1.0,117.0,153.0,-0.57
Dereck Lively II,DAL,C,55.0,19.8,0.694,4.4,0.651,1.8,0.0,7.3,6.5,2.1,0.5,1.4,1.1,,154.0,-0.62
Darryn Peterson,UTA,"SG,PG",68.0,29.1,0.427,11.4,0.818,4.1,2.0,15.1,3.1,3.0,1.1,0.5,2.0,90.9,155.0,-0.68
Isaiah Stewart,MEM,"PF,C",64.0,23.1,0.554,6.1,0.757,1.9,0.5,8.6,5.9,1.6,0.4,1.5,1.2,110.3,156.0,-0.69
Santi Aldama,DAL,"PF,C",64.0,26.5,0.481,10.5,0.677,2.0,1.8,13.2,5.1,2.9,0.8,0.6,1.2,,157.0,-0.73
Jaylin Williams,OKC,"PF,C",68.0,23.1,0.428,6.5,0.79,1.4,1.8,8.5,6.2,3.2,0.6,0.8,1.2,,158.0,-0.73
Herbert Jones,NO,"SG,SF,PF",68.0,30.4,0.397,8.9,0.814,1.4,1.4,9.6,3.7,3.0,1.7,0.5,1.5,,159.0,-0.74
Joan Beringer,MIN,C,69.0,18.4,0.664,5.8,0.703,2.2,0.0,9.2,5.4,0.7,0.4,1.5,0.7,,160.0,-0.75
Isaiah Joe,DET,"SG,SF",70.0,25.4,0.447,9.3,0.872,1.5,3.1,12.7,3.1,1.8,0.8,0.2,0.7,,161.0,-0.78
Julian Champagnie,SA,"SG,SF",75.0,26.5,0.426,8.6,0.87,1.5,2.4,11.0,5.0,1.5,0.8,0.5,0.9,,162.0,-0.95
Obi Toppin,IND,PF,60.0,21.0,0.522,8.6,0.82,1.7,1.6,12.0,4.6,2.0,0.6,0.3,1.0,,163.0,-1.04
Bradley Beal,LAC,"SG,SF",50.0,27.5,0.465,11.3,0.801,2.2,1.7,13.9,2.8,3.0,0.9,0.4,1.7,,164.0,-1.14
Grayson Allen,CHA,"PG,SG,SF",64.0,22.0,0.422,9.3,0.841,2.3,2.5,12.2,2.8,2.7,1.0,0.3,1.3,,165.0,-1.16
Moussa Diabaté,CHA,C,72.0,25.5,0.616,5.3,0.633,2.4,0.0,8.0,8.8,1.6,0.8,0.9,1.1,120.5,166.0,-1.17
Collin Sexton,LAL,"PG,SG",70.0,25.4,0.483,10.6,0.862,3.3,1.5,14.6,2.2,3.2,0.8,0.1,2.0,118.3,167.0,-1.17
Shaedon Sharpe,POR,"PG,SG,SF",64.0,28.0,0.452,15.0,0.787,3.3,1.9,18.1,4.1,2.5,1.0,0.2,2.3,119.8,168.0,-1.18
