player,team,pos,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov,adp,htag_rank,htag_total
Leonard Miller,CHI,"SF,PF",50.0,16.5,0.545,6.2,0.765,1.4,0.7,8.5,4.3,0.9,0.4,0.4,0.8,,260.0,-3.96
Tristan da Silva,ORL,"SF,PF",70.0,22.2,0.434,7.0,0.88,1.0,1.3,8.2,3.4,1.5,0.6,0.3,0.8,,261.0,-3.98
Kyle Filipowski,UTA,"PF,C",70.0,16.8,0.497,6.0,0.713,1.8,0.8,8.0,5.1,1.7,0.6,0.3,1.2,121.0,262.0,-3.99
Terrence Shannon Jr.,MIN,"SF,PF",68.0,24.4,0.463,8.0,0.801,2.6,1.2,10.7,2.7,2.0,0.6,0.2,1.1,,263.0,-4.01
Marvin Bagley III,DEN,"PF,C",58.0,17.1,0.599,5.7,0.66,2.0,0.3,8.4,5.0,1.1,0.4,0.6,0.8,,264.0,-4.02
Klay Thompson,DAL,"SG,SF",60.0,20.4,0.403,9.6,0.847,0.7,2.5,10.8,2.3,1.4,0.5,0.3,0.9,112.5,265.0,-4.04
Isaiah Jackson,LAC,C,50.0,14.8,0.635,3.9,0.631,1.8,0.0,6.1,4.8,0.9,0.6,0.9,1.0,,266.0,-4.05
Javon Small,MEM,"PG,SG",40.0,15.1,0.465,5.3,0.828,1.5,1.1,7.3,2.4,2.8,0.6,0.2,1.0,,267.0,-4.06
Karlo Matkovic,NO,"PF,C",60.0,13.7,0.589,3.8,0.754,0.7,0.5,5.5,3.6,0.8,0.4,0.8,0.6,,268.0,-4.07
Simone Fontecchio,MIA,"SF,PF",72.0,20.4,0.407,7.2,0.836,1.6,1.7,8.9,3.6,1.4,0.6,0.2,0.9,,269.0,-4.19
Quinten Post,MEM,C,64.0,16.4,0.444,6.4,0.778,0.6,1.5,7.7,3.7,1.4,0.4,0.5,0.8,,270.0,-4.19
Kobe Sanders,LAC,"SG,SF",65.0,20.4,0.466,5.9,0.829,1.1,1.2,7.6,2.3,1.7,0.8,0.2,1.2,,271.0,-4.36
Grant Williams,CHA,"PF,C",50.0,17.4,0.431,4.5,0.828,1.3,1.2,6.2,3.3,1.4,0.5,0.5,0.9,,272.0,-4.37
