player,team,pos,xrank,adp
Al Horford,GSW,"PF,C",248,86.6
Coby White,CHA,"PG,SG",85,87.1
Luke Kornet,SAS,C,220,87.5
Luke Kennard,PHX,"SG,SF",255,87.5
Aaron Wiggins,ATL,"SG,SF",271,88.4
Ausar Thompson,DET,"SG,SF,PF",92,90.8
Ja Morant,POR,PG,89,91.2
Aday Mara,OKC,C,209,91.5
Day'Ron Sharpe,BKN,C,88,91.8
Alex Caruso,OKC,"SG,SF",282,92.9
Darryn Peterson,UTA,SG,93,93.1
T.J. McConnell,IND,PG,247,93.5
Norman Powell,CHI,"SG,SF",91,93.8
Nic Claxton,CHI,C,98,95.3
Myles Turner,MIL,C,95,95.4
Ty Jerome,MEM,"PG,SG",87,95.7
Duncan Robinson,DET,"SG,SF",205,96.3
Josh Hart,NYK,"SG,SF",97,96.8
Daniel Gafford,DAL,C,134,98.3
Miles Bridges,PHX,PF,104,98.4
Allen Graves,TOR,PF,250,98.4
Jabari Smith Jr.,HOU,"PF,C",111,98.5
Immanuel Quickley,TOR,"PG,SG",90,98.7
Moussa Diabaté,CHA,C,177,98.7
Cedric Coward,MEM,"SG,SF",108,100.5
Isaiah Hartenstein,OKC,C,99,102.4
Mark Williams,PHX,C,96,102.7
Neemias Queta,BOS,C,100,104.8
Jaime Jaquez Jr.,MIL,"SG,SF,PF",117,105.2
Johni Broome,LAC,C,668,105.4
Kristaps Porziņģis,GSW,C,105,106.0
Rui Hachimura,LAC,"SF,PF",195,106.2
Ayo Dosunmu,MIN,"PG,SG",101,106.3
Jared McCain,OKC,"PG,SG",223,106.6
Cameron Johnson,DEN,"SF,PF",148,107.9
Jalen Suggs,ORL,"PG,SG",102,108.2
Jalen Green,PHX,"SG,SF",124,109.3
Sam Hauser,BOS,"SF,PF",246,109.6
Ajay Mitchell,OKC,"PG,SG",142,109.7
Klay Thompson,MIA,"SG,SF",273,109.7
Mitchell Robinson,BOS,C,188,109.9
Andrew Wiggins,MIA,"SG,SF,PF",109,110.1
Wendell Carter Jr.,ORL,C,103,110.2
Darius Acuff Jr.,SAC,PG,116,110.5
Kelly Oubre Jr.,IND,"SF,PF",145,110.6
CJ McCollum,ATL,"PG,SG",115,111.2
RJ Barrett,TOR,"SG,SF,PF",123,111.2
Davion Mitchell,MIA,PG,137,111.3
Kyshawn George,WAS,"SG,SF,PF",106,111.7
Nikola Vučević,ORL,C,174,111.9
Aaron Gordon,DEN,"PF,C",156,112.1
Isaiah Stewart,MEM,"PF,C",157,112.3
Draymond Green,GSW,"PF,C",147,112.7
Brandin Podziemski,GSW,"PG,SG",107,114.0
Julian Champagnie,SAS,"SF,PF",151,114.0
Cason Wallace,OKC,"PG,SG,SF",154,114.1
Shaedon Sharpe,POR,"PG,SG",146,114.2
Sandro Mamukelashvili,LAL,"PF,C",112,115.2
Dillon Brooks,PHX,"SF,PF",155,115.5
Peyton Watson,CLE,"SF,PF",113,115.8
Reed Sheppard,HOU,"PG,SG",138,115.8
Jrue Holiday,POR,"PG,SG",133,115.9
Collin Sexton,LAL,"PG,SG",187,116.0
Yaxel Lendeborg,GSW,PF,132,116.1
Kevin Porter Jr.,MIL,"PG,SG",110,116.5
DeMar DeRozan,DEN,"SF,PF",122,116.8
Ace Bailey,UTA,"SF,PF",152,116.8
Anfernee Simons,PHI,"PG,SG",181,116.8
Jeremiah Fears,NOP,"PG,SG",159,117.0
Bobby Portis,MIA,"PF,C",150,117.1
Jonathan Kuminga,MIN,"SF,PF",207,117.1
Devin Vassell,SAS,"SG,SF",161,117.2
Jusuf Nurkić,UTA,C,114,118.0
Deandre Ayton,WAS,C,160,118.3
Christian Braun,DEN,"SG,SF,PF",167,118.5
John Collins,DET,"PF,C",121,118.8
P.J. Washington,DAL,"PF,C",144,119.3
Toumani Camara,POR,"SF,PF",120,119.4
Anthony Black,ORL,"PG,SG,SF",143,119.4
Kyle Kuzma,MIL,"SF,PF",212,120.0
Kyle Filipowski,UTA,"PF,C",166,120.1
Zach LaVine,SAC,"PG,SG,SF",125,120.3
Jimmy Butler III,GSW,"SF,PF",129,120.5
Fred VanVleet,HOU,PG,119,120.6
Khaman Maluach,PHX,C,168,120.8
Collin Murray-Boyles,TOR,"PF,C",128,120.9
Maxime Raynaud,SAC,C,127,121.0
Egor Dëmin,BKN,"PG,SG",135,121.1
Andrew Nembhard,IND,"PG,SG",130,121.2
Keaton Wagler,LAC,SG,149,121.5
Bennedict Mathurin,NOP,"SG,SF",175,121.5
Keegan Murray,SAC,"SF,PF",118,121.6
Quentin Grimes,LAL,"SG,SF",140,121.6
Jakob Poeltl,TOR,C,136,121.8
Mikel Brown Jr.,BKN,PG,162,122.4
Morez Johnson Jr.,DAL,PF,153,123.0
Saddiq Bey,NOP,"SF,PF",126,123.1
Paul Reed,DET,"PF,C",141,123.6
Collin Gillespie,PHX,"PG,SG",131,125.2
Tari Eason,HOU,"SG,SF,PF",158,
Hannes Steinbach,CHA,PF,163,
Isaiah Collier,UTA,"PG,SG",164,
Jay Huff,IND,C,165,
Joan Beringer,MIN,"PF,C",169,
Robert Williams III,POR,C,170,
Grayson Allen,CHA,"SG,SF",171,
Jerami Grant,MEM,"SF,PF",172,
Tre Jones,CHI,"PG,SG",173,
Scotty Pippen Jr.,MEM,PG,176,
Will Riley,WAS,"SF,PF",178,
Herbert Jones,NOP,"SG,SF",179,
Brayden Burries,MIL,SG,180,
Ousmane Dieng,MIL,"SF,PF",182,
Tobias Harris,SAS,PF,183,
Tim Hardaway Jr.,MIA,"SG,SF",184,
Bilal Coulibaly,WAS,"SG,SF",185,
Yves Missi,NOP,C,186,
Santi Aldama,DAL,PF,190,
Kingston Flemings,ATL,PG,191,
Jaylon Tyson,CLE,"SG,SF,PF",192,
Jaylin Williams,OKC,"PF,C",193,
Ryan Kalkbrenner,CHA,C,194,
Keldon Johnson,SAS,"SF,PF",196,
Malik Monk,SAC,"PG,SG",197,
Precious Achiuwa,SAC,"PF,C",198,
Gui Santos,GSW,"SF,PF",200,
Pelle Larsson,MIA,"SG,SF",201,
Scoot Henderson,POR,PG,202,
Naji Marshall,DAL,"SG,SF,PF",203,
De'Anthony Melton,GSW,"PG,SG",204,
Dylan Cardwell,SAC,"PF,C",206,
Cam Spencer,MEM,"PG,SG",208,
Baylor Scheierman,BOS,"SG,SF",210,
Dereck Lively II,DAL,C,211,
Isaiah Joe,DET,"SG,SF",213,
Nique Clifford,SAC,"SG,SF",214,
Zaccharie Risacher,DAL,"SF,PF",215,
Nate Ament,MIL,SF,216,
Jalen Smith,CHI,"PF,C",217,
Moussa Cisse,DAL,C,218,
Max Christie,DAL,"SG,SF",219,
Marvin Bagley III,DEN,"PF,C",221,
Sam Merrill,CLE,"SG,SF",222,
Daniss Jenkins,DET,"PG,SG",224,
Tristan da Silva,ORL,"SF,PF",225,
Ronald Holland II,DET,"SF,PF",226,
Jaylen Wells,MEM,"SG,SF",227,
Isaiah Jackson,LAC,C,228,
Jock Landale,ATL,C,229,
Keon Ellis,BKN,"SG,SF",230,
Terrence Shannon Jr.,MIN,"SG,SF",231,
Hugo González,BOS,"SG,SF",232,
GG Jackson,MEM,"SF,PF,C",233,
Jamal Shead,TOR,PG,234,
Max Strus,LAC,"SF,PF",235,
De'Andre Hunter,SAC,"SF,PF",236,
Jordan Poole,NOP,"PG,SG",237,
Taylor Hendricks,MEM,"PF,C",238,
Oso Ighodaro,PHX,C,239,
Bub Carrington,WAS,"PG,SG",240,
Andre Drummond,NYK,C,241,
Tre Johnson,WAS,"PG,SG,SF",242,
Royce O'Neale,CHA,"SF,PF",243,
Sergio De Larrea,DAL,PG,244,
Carter Bryant,SAS,"SF,PF",245,
Jake LaRavia,LAL,"SF,PF",249,
Donte DiVincenzo,MIN,"SG,SF",251,
Kris Dunn,LAC,"PG,SG",252,
Justin Champagnie,WAS,"SF,PF",253,
Javonte Green,DET,"SG,SF",254,
Harrison Barnes,SAS,PF,256,
Kevin Huerter,DET,"SG,SF",257,
Brice Sensabaugh,UTA,"SG,SF,PF",258,
Moses Moody,GSW,"SG,SF,PF",259,
Jordan Goodwin,PHX,"PG,SG",261,
Russell Westbrook,SAC,"PG,SG",262,
Goga Bitadze,ORL,C,263,
Luguentz Dort,ATL,"SG,SF",264,
Gary Payton II,GSW,"SG,SF",265,
Bruce Brown,DEN,"PG,SG",266,
Jarace Walker,IND,"SF,PF",267,
Derrick Jones Jr.,LAC,"SF,PF",268,
Dennis Schröder,CHA,"PG,SG",269,
Ziaire Williams,LAL,"SG,SF",270,
Ja'Kobe Walter,TOR,"PG,SG",272,
Dominick Barlow,PHI,"PF,C",274,
John Konchar,MIN,"SG,SF",275,
Jose Alvarado,NYK,PG,276,
Jonas Valančiūnas,DEN,C,277,
Marcus Smart,HOU,"PG,SG",278,
Noah Clowney,BKN,"PF,C",279,
Dru Smith,MIA,"PG,SG",280,
Vít Krejčí,POR,"SG,SF",281,
Jaxson Hayes,UTA,C,283,
Karlo Matković,NOP,"PF,C",284,
Dean Wade,PHI,"SF,PF",285,
Isaac Okoro,CHI,"SG,SF",286,
Ryan Dunn,PHX,"SF,PF",287,
Brandon Williams,GSW,PG,288,
Nicolas Batum,LAC,"SF,PF",289,
Mouhamed Gueye,ATL,"PF,C",290,
Simone Fontecchio,MIA,"SF,PF",291,
Kentavious Caldwell-Pope,PHI,"SG,SF",292,
Quinten Post,MEM,C,293,
Miles McBride,NYK,"PG,SG",294,
Terance Mann,BKN,"SG,SF",295,
Clint Capela,HOU,C,296,
Will Richard,GSW,"SG,SF",297,
Luka Garza,BOS,C,298,
Jordan Walsh,BOS,"SF,PF",299,
