player,team,pos,rank,value,rank_avg,value_avg,gp,mpg,pts,reb,ast,stl,blk,tpm,tov,fg_pct,fga,ft_pct,fta,z_pts,z_reb,z_ast,z_stl,z_blk,z_tpm,z_fgpct,z_ftpct,z_tov
Victor Wembanyama,SAS,C,1,13.3154,1,12.827,65,31.5,25.0,11.5,3.3,1.1,3.25,2.0,2.5,0.506,17.2,0.836,6.7,1.854,2.882,0.042,0.605,6.626,0.523,0.964,1.089,-1.268
Nikola Jokić,DEN,C,2,13.2244,2,12.6687,65.5,35.0,27.7,12.6,10.3,1.45,0.8,1.733,3.6,0.567,18.02,0.818,6.76,2.346,3.405,3.847,1.76,0.613,0.223,3.252,0.616,-2.838
Shai Gilgeous-Alexander,OKC,PG,3,12.6875,3,11.3961,67.6,33.2,30.526,4.65,6.296,1.53,0.841,1.773,2.232,0.538,19.68,0.883,8.58,2.995,-0.049,1.786,2.177,0.78,0.338,2.468,3.21,-1.017
Luka Dončić,LAL,PG,4,7.8773,4,8.8848,61.0,35.8,34.0,8.168,8.667,1.675,0.529,4.085,3.88,0.473,23.51,0.782,9.81,3.022,1.194,2.639,2.114,-0.15,2.674,-0.216,-0.544,-2.855
Tyrese Maxey,PHI,PG,5,7.4955,7,6.0571,69.5,36.0,24.35,3.85,5.8,1.4,0.45,2.8,2.05,0.466,18.25,0.892,5.1,2.03,-0.364,1.603,1.877,-0.186,1.691,-0.478,2.161,-0.839
Kawhi Leonard,LAC,SF/SG,6,7.4378,5,7.1425,65,31.5,24.491,5.953,3.36,1.672,0.466,2.33,1.858,0.498,17.71,0.876,5.19,1.768,0.443,0.074,2.438,-0.223,0.911,0.697,1.703,-0.373
Jayson Tatum,BOS,PF/SF,7,7.1098,6,6.1145,68,35.0,28.642,9.044,6.061,1.17,0.483,3.617,2.803,0.445,21.99,0.819,6.65,2.696,1.986,1.678,1.001,-0.126,2.62,-1.521,0.647,-1.871
Jamal Murray,DEN,PG,8,6.9522,9,5.8892,67.9,34.5,24.868,4.366,6.727,1.041,0.455,3.045,2.229,0.479,18.38,0.882,4.78,2.02,-0.169,2.047,0.565,-0.201,1.911,0.044,1.764,-1.029
Karl-Anthony Towns,NYK,C/PF,9,6.8098,13,5.4821,68.9,32.5,21.8,11.4,3.0,0.9,0.62,1.85,2.48,0.517,14.8,0.861,5.4,1.53,3.136,-0.024,0.135,0.246,0.475,1.227,1.53,-1.445
Kevin Durant,HOU,PF/SF,10,6.5056,19,4.9085,70,34.6,26.462,5.585,4.512,0.79,0.982,2.459,3.145,0.511,18.55,0.856,5.9,2.447,0.471,0.881,-0.195,1.231,1.285,1.328,1.563,-2.505
Cooper Flagg,DAL,PG/SF/SG,11,6.4248,11,5.6132,67.0,34.3,24.042,7.203,5.178,1.356,1.017,1.257,2.457,0.486,18.72,0.836,5.48,1.816,1.089,1.137,1.557,1.208,-0.306,0.324,0.912,-1.312
Anthony Edwards,MIN,PG/SG,12,6.363,10,5.8318,66.0,34.9,29.057,5.38,4.203,1.318,0.726,3.611,2.907,0.477,20.72,0.817,6.95,2.62,0.229,0.563,1.369,0.445,2.483,-0.034,0.586,-1.899
Donovan Mitchell,CLE,PG/SG,13,6.2623,14,5.475,67.2,34.0,26.773,4.5,5.5,1.45,0.28,3.255,2.6,0.468,19.84,0.851,5.83,2.307,-0.129,1.324,1.882,-0.658,2.126,-0.418,1.356,-1.529
Scottie Barnes,TOR,PF/SF,14,5.9281,20,4.6727,69.0,32.4,18.59,7.617,5.974,1.37,1.256,1.044,2.617,0.492,14.62,0.797,3.98,0.962,1.382,1.68,1.743,1.912,-0.526,0.426,0.006,-1.657
Tyrese Haliburton,IND,PG/SG,15,5.7764,8,5.9859,63,33.0,17.996,3.688,8.382,1.296,0.647,2.741,1.647,0.478,13.33,0.848,2.97,0.572,-0.602,2.637,1.105,0.174,1.295,-0.006,0.61,-0.009
Cade Cunningham,DET,PG,16,5.5773,17,5.2645,65.1,32.9,25.689,5.677,9.661,1.273,0.775,2.116,3.726,0.469,19.98,0.829,5.82,1.977,0.326,3.471,1.167,0.539,0.662,-0.355,0.775,-2.985
Jalen Johnson,ATL,PF/SF,17,5.4057,18,5.1227,65,33.2,21.237,10.014,7.286,1.298,0.584,1.581,3.036,0.499,16.01,0.785,4.67,1.215,2.229,2.186,1.241,0.067,0.03,0.685,-0.231,-2.016
Amen Thompson,HOU,PG/SG,18,5.1095,25,3.8175,69.5,35.0,17.967,8.137,5.238,1.42,0.8,0.424,2.22,0.541,12.93,0.761,4.66,0.87,1.65,1.278,1.944,0.734,-1.296,1.751,-0.731,-1.091
Desmond Bane,ORL,PG/SG,19,5.0058,31,3.5073,70.4,32.9,20.44,4.744,4.609,1.084,0.453,2.247,2.158,0.482,15.23,0.899,3.9,1.369,0.086,0.953,0.842,-0.163,1.034,0.14,1.787,-1.042
Nickeil Alexander-Walker,ATL,PG/SG,20,4.8919,40,3.1921,71.8,30.7,19.6,3.574,3.502,1.232,0.541,3.142,1.822,0.454,14.74,0.876,3.5,1.284,-0.439,0.347,1.44,0.1,2.25,-0.778,1.275,-0.588
Kon Knueppel,CHA,SF/SG,21,4.6646,50,2.8087,72.5,32.5,19.413,5.687,3.598,0.773,0.275,3.472,1.984,0.489,13.69,0.864,2.96,1.285,0.614,0.425,-0.159,-0.615,2.723,0.335,0.924,-0.867
Donovan Clingan,POR,C,22,4.5114,36,3.3598,68.5,25.8,11.278,11.945,2.005,0.612,1.897,0.918,1.226,0.532,8.17,0.68,2.44,-0.371,3.361,-0.597,-0.856,3.55,-0.692,0.943,-1.244,0.416
James Harden,CLE,PG,23,4.4742,30,3.5365,68,34.5,20.2,5.0,8.0,1.1,0.45,2.65,3.05,0.43,14.07,0.872,6.25,1.198,0.126,2.769,0.767,-0.211,1.431,-1.418,2.044,-2.231
Matas Buzelis,CHI,PF/SF,24,4.464,49,2.8426,71.1,28.4,18.391,5.832,2.043,0.703,1.622,2.527,1.838,0.475,13.87,0.8,3.34,1.024,0.63,-0.532,-0.458,2.994,1.42,-0.075,0.047,-0.585
Derrick White,BOS,PG/SG,25,4.3772,44,2.9992,70.3,33.4,15.908,4.387,5.002,1.051,1.165,2.824,1.717,0.41,13.36,0.878,2.41,0.53,-0.089,1.175,0.719,1.727,1.759,-1.959,0.885,-0.37
Stephen Curry,GSW,PG,26,4.2995,12,5.5183,58.8,32.0,25.0,3.95,5.15,1.04,0.4,4.35,2.65,0.456,18.1,0.922,4.5,1.449,-0.603,0.773,0.094,-0.479,2.798,-0.728,2.121,-1.125
Jalen Duren,DET,C,27,4.2705,42,3.1117,68.5,27.3,16.779,10.678,2.316,0.764,0.946,0.076,1.762,0.659,9.94,0.743,4.85,0.612,2.773,-0.421,-0.339,1.082,-1.735,3.804,-1.134,-0.372
Kel'el Ware,MIL,C/PF,28,4.1333,41,3.1429,67.9,25.5,12.039,9.6,1.024,0.878,1.265,1.164,0.934,0.544,9.04,0.746,1.4,-0.253,2.236,-1.158,0.021,1.884,-0.399,1.252,-0.306,0.856
Trey Murphy,NOP,SF/SG,29,4.0432,21,4.3452,62.4,33.0,19.702,5.261,3.428,1.264,0.461,2.956,1.643,0.469,14.5,0.88,3.59,0.822,0.047,0.037,0.969,-0.28,1.509,-0.264,1.186,0.017
Dyson Daniels,ATL,SF/SG,30,4.0115,51,2.8038,70.0,30.5,11.672,6.022,4.901,2.098,0.489,0.579,1.649,0.514,9.82,0.63,1.58,-0.256,0.677,1.105,4.318,-0.074,-1.096,0.77,-1.175,-0.258
Jalen Brunson,NYK,PG,31,3.9431,29,3.5856,65.3,34.5,28.727,3.485,7.347,0.875,0.147,2.819,2.49,0.471,21.61,0.833,6.65,2.509,-0.634,2.237,-0.105,-1.007,1.5,-0.295,1.008,-1.27
LaMelo Ball,MIN,PG,32,3.7371,35,3.3649,65.8,29.2,22.239,5.017,7.378,1.257,0.27,3.858,2.953,0.415,18.68,0.875,3.29,1.432,0.059,2.284,1.157,-0.698,2.763,-2.388,1.078,-1.95
Ryan Rollins,MIL,PG,33,3.7322,54,2.4899,70,31.1,15.826,4.569,4.994,1.52,0.467,2.239,2.31,0.482,12.43,0.8,2.02,0.504,-0.01,1.16,2.327,-0.133,1.006,0.099,0.032,-1.252
Lauri Markkanen,UTA,PF/SF,34,3.6986,33,3.4811,64.5,32.5,21.776,6.526,1.881,0.888,0.455,2.601,1.391,0.462,16.0,0.887,4.94,1.279,0.673,-0.73,-0.098,-0.258,1.206,-0.504,1.838,0.293
Bam Adebayo,MIA,C/PF,35,3.6909,56,2.4486,70,32.8,18.991,9.648,3.563,1.181,0.688,1.365,1.822,0.461,14.83,0.772,5.11,1.082,2.394,0.331,1.155,0.454,-0.101,-0.536,-0.571,-0.518
Naz Reid,CHA,C/PF,36,3.6907,63,2.2134,71.1,26.9,16.802,7.062,2.33,0.956,1.018,2.569,1.62,0.462,13.69,0.751,2.1,0.729,1.221,-0.363,0.429,1.368,1.473,-0.478,-0.436,-0.252
Michael Porter,BKN,PF/SF,37,3.6396,26,3.8033,62.9,32.4,23.345,7.563,2.641,0.881,0.409,3.282,1.88,0.478,17.77,0.83,3.7,1.445,1.044,-0.359,-0.187,-0.396,1.906,0.005,0.5,-0.319
Austin Reaves,LAL,PG/SG,38,3.5882,24,3.9756,61.8,34.4,22.145,4.769,5.864,1.094,0.373,2.522,2.687,0.478,14.95,0.869,6.13,1.185,-0.18,1.266,0.413,-0.498,0.991,0.006,1.751,-1.345
OG Anunoby,NYK,PF/SF,39,3.5351,48,2.8899,66.8,33.6,16.573,4.952,2.187,1.464,0.751,2.245,1.652,0.481,12.32,0.816,3.04,0.503,0.064,-0.524,1.903,0.53,0.885,0.07,0.254,-0.15
Mikal Bridges,NYK,PF/SF/SG,40,3.4797,75,1.6911,73.0,33.6,15.503,3.691,3.625,1.131,0.635,1.956,1.291,0.484,12.67,0.818,1.56,0.565,-0.352,0.455,1.147,0.385,0.752,0.178,0.153,0.197
Alperen Şengün,HOU,C/PF,41,3.453,57,2.4307,68.7,31.5,20.11,9.767,5.923,1.155,0.963,0.53,2.82,0.522,15.21,0.7,5.26,1.219,2.366,1.635,0.993,1.135,-1.171,1.437,-2.222,-1.938
Reed Sheppard,HOU,PG/SG,42,3.3349,81,1.4537,74,26.0,13.163,3.102,3.374,1.436,0.669,2.614,1.434,0.437,11.04,0.808,1.11,0.155,-0.621,0.333,2.319,0.505,1.67,-1.025,0.058,-0.058
Anthony Davis,WAS,C/PF,43,3.3235,15,5.4123,55,31.9,19.85,10.6,2.9,1.08,1.79,0.6,1.92,0.51,15.0,0.775,5.1,0.462,1.77,-0.414,0.008,2.357,-1.232,0.818,-0.397,-0.048
Chet Holmgren,OKC,C/PF,44,3.3021,22,4.1882,59.2,27.7,16.138,8.243,1.854,0.645,1.846,1.315,1.505,0.547,10.78,0.791,3.83,0.106,1.127,-0.826,-1.038,2.767,-0.421,1.362,-0.082,0.306
Jalen Williams,OKC,PF/SF/SG,45,3.1997,28,3.6788,61.5,30.3,20.709,5.012,5.219,1.416,0.519,1.43,1.985,0.497,15.94,0.814,4.23,0.937,-0.089,0.923,1.372,-0.16,-0.238,0.567,0.289,-0.401
Evan Mobley,CLE,C/PF,46,3.1807,52,2.6986,65.7,32.0,18.4,9.2,3.5,0.82,1.55,1.0,1.96,0.553,13.1,0.652,4.45,0.766,1.912,0.168,-0.266,2.483,-0.641,2.008,-2.706,-0.543
Onyeka Okongwu,ATL,C,47,3.0345,67,1.9377,69.0,27.9,13.556,7.452,2.619,0.961,0.953,1.371,1.397,0.515,9.91,0.765,2.6,0.053,1.303,-0.239,0.348,1.119,-0.118,0.775,-0.357,0.151
Josh Giddey,CHI,PG,48,3.0111,37,3.3515,62.1,31.1,17.86,8.542,9.005,1.119,0.606,1.903,3.244,0.467,13.77,0.779,3.98,0.509,1.416,2.897,0.508,0.056,0.31,-0.295,-0.284,-2.106
