player,team,pos,rank,value,rank_avg,value_avg,gp,mpg,pts,reb,ast,stl,blk,tpm,tov,fg_pct,fga,ft_pct,fta,z_pts,z_reb,z_ast,z_stl,z_blk,z_tpm,z_fgpct,z_ftpct,z_tov
Alex Sarr,WAS,C,116,-0.406,107,0.1249,59.7,24.7,13.839,6.443,2.447,0.713,1.591,1.194,1.5,0.463,11.73,0.702,2.54,-0.23,0.429,-0.524,-0.82,2.227,-0.539,-0.329,-0.914,0.296
Joel Embiid,PHI,C,117,-0.4188,23,4.0064,43.5,32.0,23.785,8.008,3.792,0.701,1.176,1.267,2.716,0.483,16.35,0.858,7.84,0.313,0.182,-0.368,-1.417,0.567,-0.832,0.107,1.347,-0.317
Ja Morant,POR,PG,118,-0.4636,85,1.2601,54,31.5,21.487,4.406,7.328,1.226,0.346,1.497,3.196,0.441,16.88,0.851,5.98,0.641,-0.564,1.542,0.344,-0.662,-0.367,-1.034,1.122,-1.485
Deandre Ayton,WAS,C,119,-0.4787,123,-0.3558,61.7,26.1,12.212,7.836,1.072,0.616,0.86,0.106,1.235,0.622,8.8,0.671,1.72,-0.422,1.095,-1.187,-1.047,0.639,-1.71,2.422,-0.852,0.583
Tre Jones,CHI,PG/SF/SG,120,-0.4886,117,-0.2273,61.3,24.5,11.643,3.08,4.922,1.026,0.189,0.636,1.229,0.544,8.06,0.839,2.67,-0.525,-0.897,0.763,0.178,-0.932,-1.124,1.004,0.443,0.602
Jakob Poeltl,TOR,C,121,-0.519,98,0.4449,57.1,26.0,11.741,7.614,2.307,0.922,0.911,0.106,1.481,0.646,7.92,0.635,2.22,-0.636,0.769,-0.643,-0.324,0.601,-1.72,2.345,-1.314,0.402
Isaiah Hartenstein,OKC,C,122,-0.5605,100,0.3684,57.4,25.1,9.644,9.188,3.38,0.947,0.88,0.097,1.612,0.595,6.85,0.654,2.14,-0.941,1.397,-0.127,-0.238,0.544,-1.728,1.422,-1.12,0.231
Walker Kessler,LAL,C,123,-0.5765,38,3.2986,44.9,29.4,11.514,10.692,1.897,0.724,2.211,0.39,1.595,0.638,7.51,0.595,2.59,-1.038,1.075,-1.029,-1.317,2.389,-1.512,1.669,-1.496,0.681
CJ McCollum,ATL,PG/SG,124,-0.5774,142,-1.0954,66.8,29.2,18.014,3.392,3.702,0.802,0.445,2.533,1.726,0.446,14.94,0.758,2.84,0.755,-0.641,0.314,-0.279,-0.244,1.233,-0.987,-0.471,-0.257
Jeremiah Fears,NOP,PG,125,-0.5861,171,-1.8916,73.0,24.5,13.887,3.672,3.308,1.143,0.371,1.225,1.94,0.454,11.41,0.8,2.87,0.258,-0.361,0.264,1.193,-0.345,-0.212,-0.608,0.045,-0.82
