player,team,pos,xrank,adp
Nique Clifford,SAC,"SF,SG",217,
Jaylen Wells,MEM,"SF,SG",218,
Royce O'Neale,CHA,"SF,PF",219,
Jaylin Williams,OKC,"PF,C",220,
Keldon Johnson,SAS,"PF,SF",221,
Jared McCain,OKC,"PG,SG",222,
Malik Monk,SAC,"PG,SG",223,
Isaiah Collier,UTA,"PG,SG",224,
Cam Spencer,MEM,"PG,SG",225,
Tristan da Silva,ORL,"SF,PF",226,
Tre Johnson,WAS,"PG,SF,SG",227,
Noah Clowney,BKN,"C,PF",228,
Marcus Smart,HOU,"PG,SG",229,
Ben Simmons,SAC,PG,230,
Marvin Bagley III,DEN,"PF,C",231,
Terrence Shannon Jr.,MIN,"SF,SG",232,
Brice Sensabaugh,UTA,"PF,SF,SG",233,
Will Riley,WAS,"PF,SF",234,
Nikola Jovic,MIA,"C,PF",235,
Jamal Shead,TOR,PG,236,
Bones Hyland,MIN,"PG,SG",237,
Keaton Wagler,LAC,"PG,SG",238,
Ryan Kalkbrenner,CHA,C,239,
Bub Carrington,WAS,"PG,SG",240,
De'Anthony Melton,GSW,"PG,SG",241,
Khris Middleton,WAS,"PF,SF,SG",242,
Kentavious Caldwell-Pope,PHI,"SG,SF",243,
Brayden Burries,MIL,SG,244,
Rob Dillingham,CHI,"PG,SG",245,
Gradey Dick,LAC,"SG,SF",246,
Kingston Flemings,ATL,"PG,SG",247,
Allen Graves,TOR,"PF,SF",248,
Aday Mara,OKC,C,249,
Zach Collins,CHI,C,250,
